TV Ad Budget ($),Radio Ad Budget ($),Newspaper Ad Budget ($),TV_Share,Radio_Share,Newspaper_Share,Sales_per_Dollar,Total_Ad_Budget,Sales(Units)
230.1,37.8,69.2,68.26%,11.21%,20.53%,0.06555918125185405,337.1,22.1
44.5,39.3,45.1,34.52%,30.49%,34.99%,0.08068269976726145,128.9,10.4
17.2,45.9,69.3,12.99%,34.67%,52.34%,0.0702416918429003,132.4,9.3
151.5,41.3,58.5,60.29%,16.43%,23.28%,0.07361719060883407,251.3,18.5
180.8,10.8,58.4,72.32%,4.32%,23.36%,0.0516,250.0,12.9
8.7,48.9,75.0,6.56%,36.88%,56.56%,0.05429864253393665,132.6,7.2
57.5,32.8,23.5,50.53%,28.82%,20.65%,0.10369068541300529,113.8,11.8
120.2,19.6,11.6,79.39%,12.95%,7.66%,0.08718626155878467,151.4,13.2
8.6,2.1,1.0,73.5%,17.95%,8.55%,0.41025641025641024,11.7,4.8
199.8,2.6,21.2,89.36%,1.16%,9.48%,0.04740608228980322,223.6,10.6
66.1,5.8,24.2,68.78%,6.04%,25.18%,0.08949011446409989,96.1,8.6
214.7,24.0,4.0,88.46%,9.89%,1.65%,0.07169344870210136,242.7,17.4
23.8,35.1,65.9,19.07%,28.12%,52.8%,0.07371794871794872,124.8,9.2
97.5,7.6,7.2,86.82%,6.77%,6.41%,0.08637577916295636,112.3,9.7
204.1,32.9,46.0,72.12%,11.63%,16.25%,0.06713780918727916,283.0,19.0
195.4,47.7,52.9,66.01%,16.11%,17.87%,0.07567567567567567,296.0,22.4
67.8,36.6,114.0,31.04%,16.76%,52.2%,0.05723443223443223,218.4,12.5
281.4,39.6,55.8,74.68%,10.51%,14.81%,0.06475583864118896,376.8,24.4
69.2,20.5,18.3,64.07%,18.98%,16.94%,0.10462962962962964,108.0,11.3
147.3,23.9,19.1,77.4%,12.56%,10.04%,0.0767209668943773,190.3,14.6
218.4,27.7,53.4,72.92%,9.25%,17.83%,0.06010016694490818,299.5,18.0
237.4,5.1,23.5,89.25%,1.92%,8.83%,0.046992481203007516,266.0,12.5
13.2,15.9,49.6,16.77%,20.2%,63.02%,0.07115628970775095,78.7,5.6
228.3,16.9,26.2,84.12%,6.23%,9.65%,0.057111274871039064,271.4,15.5
62.3,12.6,18.3,66.85%,13.52%,19.64%,0.10407725321888411,93.2,9.7
262.9,3.5,19.5,91.96%,1.22%,6.82%,0.04197271773347325,285.9,12.0
142.9,29.3,12.6,77.33%,15.85%,6.82%,0.08116883116883117,184.8,15.0
240.1,16.7,22.9,85.84%,5.97%,8.19%,0.056846621380050054,279.7,15.9
248.8,27.1,22.9,83.27%,9.07%,7.66%,0.06325301204819277,298.8,18.9
70.6,16.0,40.8,55.42%,12.56%,32.03%,0.08241758241758242,127.4,10.5
292.9,28.3,43.2,80.38%,7.77%,11.86%,0.05872667398463227,364.4,21.4
112.9,17.4,38.6,66.84%,10.3%,22.85%,0.0704558910597987,168.9,11.9
97.2,1.5,30.0,75.52%,1.17%,23.31%,0.07459207459207459,128.7,9.6
265.6,20.0,0.3,92.9%,7.0%,0.1%,0.060860440713536204,285.9,17.4
95.7,1.4,7.4,91.58%,1.34%,7.08%,0.09090909090909091,104.5,9.5
290.7,4.1,8.5,95.85%,1.35%,2.8%,0.04220243982855259,303.3,12.8
266.9,43.8,5.0,84.54%,13.87%,1.58%,0.08045612923661705,315.7,25.4
74.7,49.4,45.7,43.99%,29.09%,26.91%,0.08657243816254416,169.8,14.7
43.1,26.7,35.1,41.09%,25.45%,33.46%,0.09628217349857006,104.9,10.1
228.0,37.7,32.0,76.59%,12.66%,10.75%,0.07222035606315083,297.7,21.5
202.5,22.3,31.6,78.98%,8.7%,12.32%,0.06474258970358815,256.4,16.6
177.0,33.4,38.7,71.06%,13.41%,15.54%,0.06864712966680049,249.1,17.1
293.6,27.7,1.8,90.87%,8.57%,0.56%,0.06406685236768801,323.1,20.7
206.9,8.4,26.4,85.6%,3.48%,10.92%,0.05337194869673149,241.7,12.9
25.1,25.7,43.3,26.67%,27.31%,46.01%,0.09032943676939427,94.1,8.5
175.1,22.5,31.5,76.43%,9.82%,13.75%,0.0650371017023134,229.1,14.9
89.7,9.9,35.7,66.3%,7.32%,26.39%,0.07834441980783444,135.3,10.6
239.9,41.5,18.5,79.99%,13.84%,6.17%,0.07735911970656886,299.9,23.2
227.2,15.8,49.9,77.57%,5.39%,17.04%,0.050529190850119504,292.9,14.8
66.9,11.7,36.8,57.97%,10.14%,31.89%,0.08405545927209704,115.4,9.7
